SITE_ID,SITE_NAME,URL,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,Latitude,Longitude,Elevation,IGBP,MAT,MAP
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,http://sites.fluxdata.org/CA-TP1/,Tier2,Tier2: 2002,Tier2: 2014,42.6609,-80.5595,265,ENF,8,1036
CA-TP2,Ontario - Turkey Point 1989 Plantation White Pine,http://sites.fluxdata.org/CA-TP2/,Tier2,Tier2: 2002,Tier2: 2007,42.7744,-80.4588,212,ENF,8,1036
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,http://sites.fluxdata.org/CA-TP3/,Tier2,Tier2: 2002,Tier2: 2014,42.7068,-80.3483,184,ENF,8,1036
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,http://sites.fluxdata.org/CA-TP4/,Tier2,Tier2: 2002,Tier2: 2014,42.7102,-80.3574,184,ENF,8,1036
CA-TPD,Ontario - Turkey Point Mature Deciduous,http://sites.fluxdata.org/CA-TPD/,Tier2,Tier2: 2012,Tier2: 2014,42.6353,-80.5577,260,DBF,8,1036
CG-Tch,Tchizalamou,http://sites.fluxdata.org/CG-Tch/,Tier2,Tier2: 2006,Tier2: 2009,-4.2892,11.6564,82,SAV,25.7,1150
CH-Cha,Chamau,http://sites.fluxdata.org/CH-Cha/,"Tier1,",Tier1: 2005,Tier1: 2014,47.2102,8.4104,393,GRA,9.5,1136
,,,Tier2,Tier2: 2005,Tier2: 2014,,,,,,
CH-Dav,Davos,http://sites.fluxdata.org/CH-Dav/,"Tier1,",Tier1: 1997,Tier1: 2014,46.8153,9.8559,1639,ENF,2.8,1062
,,,Tier2,Tier2: 1997,Tier2: 2014,,,,,,
CH-Fru,Früebüel ,http://sites.fluxdata.org/CH-Fru/,"Tier1,",Tier1: 2005,Tier1: 2014,47.1158,8.5378,982,GRA,7.2,1651
,,,Tier2,Tier2: 2005,Tier2: 2014,,,,,,
CH-Lae,Laegern,http://sites.fluxdata.org/CH-Lae/,"Tier1,",Tier1: 2004,Tier1: 2014,47.4781,8.365,689,MF,8.3,1100
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
CH-Oe1,Oensingen grassland,http://sites.fluxdata.org/CH-Oe1/,"Tier1,",Tier1: 2002,Tier1: 2008,47.2858,7.7319,450,GRA,9,1100
,,,Tier2,Tier2: 2002,Tier2: 2008,,,,,,
CH-Oe2,Oensingen crop,http://sites.fluxdata.org/CH-Oe2/,"Tier1,",Tier1: 2004,Tier1: 2014,47.2863,7.7343,452,CRO,9,1100
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
CN-Cha,Changbaishan,http://sites.fluxdata.org/CN-Cha/,"Tier1,",Tier1: 2003,Tier1: 2005,42.4025,128.0958,,MF,,
,,,Tier2,Tier2: 2003,Tier2: 2005,,,,,,
CN-Cng,Changling,http://sites.fluxdata.org/CN-Cng/,"Tier1,",Tier1: 2007,Tier1: 2010,44.5934,123.5092,,GRA,,
,,,Tier2,Tier2: 2007,Tier2: 2010,,,,,,
CN-Dan,Dangxiong,http://sites.fluxdata.org/CN-Dan/,"Tier1,",Tier1: 2004,Tier1: 2005,30.4978,91.0664,,GRA,,
,,,Tier2,Tier2: 2004,Tier2: 2005,,,,,,
CN-Din,Dinghushan,http://sites.fluxdata.org/CN-Din/,"Tier1,",Tier1: 2003,Tier1: 2005,23.1733,112.5361,,EBF,,
,,,Tier2,Tier2: 2003,Tier2: 2005,,,,,,
CN-Du2,Duolun_grassland (D01),http://sites.fluxdata.org/CN-Du2/,"Tier1,",Tier1: 2006,Tier1: 2008,42.0467,116.2836,,GRA,,
,,,Tier2,Tier2: 2006,Tier2: 2008,,,,,,
CN-Du3,Duolun Degraded Meadow,http://sites.fluxdata.org/CN-Du3/,Tier2,Tier2: 2009,Tier2: 2010,42.0551,116.2809,,GRA,,
CN-Ha2,Haibei Shrubland,http://sites.fluxdata.org/CN-Ha2/,"Tier1,",Tier1: 2003,Tier1: 2005,37.6086,101.3269,,WET,,
,,,Tier2,Tier2: 2003,Tier2: 2005,,,,,,
CN-HaM,Haibei Alpine Tibet site,http://sites.fluxdata.org/CN-HaM/,"Tier1,",Tier1: 2002,Tier1: 2004,37.37,101.18,,GRA,,
,,,Tier2,Tier2: 2002,Tier2: 2004,,,,,,
CN-Qia,Qianyanzhou,http://sites.fluxdata.org/CN-Qia/,"Tier1,",Tier1: 2003,Tier1: 2005,26.7414,115.0581,,ENF,,
,,,Tier2,Tier2: 2003,Tier2: 2005,,,,,,
CN-Sw2,Siziwang Grazed (SZWG),http://sites.fluxdata.org/CN-Sw2/,"Tier1,",Tier1: 2010,Tier1: 2012,41.7902,111.8971,,GRA,,
,,,Tier2,Tier2: 2010,Tier2: 2012,,,,,,
CZ-BK1,Bily Kriz forest,http://sites.fluxdata.org/CZ-BK1/,"Tier1,",Tier1: 2004,Tier1: 2008,49.5021,18.5369,875,ENF,6.7,1316
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
CZ-BK2,Bily Kriz grassland,http://sites.fluxdata.org/CZ-BK2/,"Tier1,",Tier1: 2004,Tier1: 2006,49.4944,18.5429,855,GRA,6.7,1316
,,,Tier2,Tier2: 2004,Tier2: 2012,,,,,,
CZ-wet,Trebon (CZECHWET),http://sites.fluxdata.org/CZ-wet/,"Tier1,",Tier1: 2006,Tier1: 2014,49.0247,14.7704,426,WET,7.6,614
,,,Tier2,Tier2: 2006,Tier2: 2014,,,,,,
DE-Akm,Anklam,http://sites.fluxdata.org/DE-Akm/,"Tier1,",Tier1: 2009,Tier1: 2014,53.8662,13.6834,-1,WET,8.7,558
,,,Tier2,Tier2: 2009,Tier2: 2014,,,,,,
DE-Geb,Gebesee,http://sites.fluxdata.org/DE-Geb/,"Tier1,",Tier1: 2001,Tier1: 2014,51.1001,10.9143,161.5,CRO,8.5,470
,,,Tier2,Tier2: 2001,Tier2: 2014,,,,,,
DE-Gri,Grillenburg,http://sites.fluxdata.org/DE-Gri/,"Tier1,",Tier1: 2004,Tier1: 2014,50.95,13.5126,385,GRA,7.8,901
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
DE-Hai,Hainich,http://sites.fluxdata.org/DE-Hai/,"Tier1,",Tier1: 2000,Tier1: 2012,51.0792,10.453,430,DBF,8.3,720
,,,Tier2,Tier2: 2000,Tier2: 2012,,,,,,
DE-Kli,Klingenberg,http://sites.fluxdata.org/DE-Kli/,"Tier1,",Tier1: 2004,Tier1: 2014,50.8931,13.5224,478,CRO,7.6,842
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
DE-Lkb,Lackenberg,http://sites.fluxdata.org/DE-Lkb/,"Tier1,",Tier1: 2009,Tier1: 2013,49.0996,13.3047,1308,ENF,4,1599
,,,Tier2,Tier2: 2009,Tier2: 2013,,,,,,
DE-Lnf,Leinefelde,http://sites.fluxdata.org/DE-Lnf/,Tier2,Tier2: 2002,Tier2: 2012,51.3282,10.3678,451,DBF,,
DE-Obe,Oberbärenburg,http://sites.fluxdata.org/DE-Obe/,"Tier1,",Tier1: 2008,Tier1: 2014,50.7867,13.7213,734,ENF,5.5,996
,,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
DE-RuR,Rollesbroich,http://sites.fluxdata.org/DE-RuR/,"Tier1,",Tier1: 2011,Tier1: 2014,50.6219,6.3041,514.7,GRA,7.7,1033
,,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
DE-RuS,Selhausen Juelich,http://sites.fluxdata.org/DE-RuS/,"Tier1,",Tier1: 2011,Tier1: 2014,50.8659,6.4472,102.76,CRO,10,700
,,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
DE-Seh,Selhausen,http://sites.fluxdata.org/DE-Seh/,"Tier1,",Tier1: 2007,Tier1: 2010,50.8706,6.4497,103,CRO,9.9,693
,,,Tier2,Tier2: 2007,Tier2: 2010,,,,,,
DE-SfN,Schechenfilz Nord,http://sites.fluxdata.org/DE-SfN/,"Tier1,",Tier1: 2012,Tier1: 2014,47.8064,11.3275,590,WET,8.6,1127
,,,Tier2,Tier2: 2012,Tier2: 2014,,,,,,
DE-Spw,Spreewald,http://sites.fluxdata.org/DE-Spw/,"Tier1,",Tier1: 2010,Tier1: 2014,51.8923,14.0337,61,WET,8.7,558
,,,Tier2,Tier2: 2010,Tier2: 2014,,,,,,
DE-Tha,Tharandt,http://sites.fluxdata.org/DE-Tha/,"Tier1,",Tier1: 1996,Tier1: 2014,50.9624,13.5652,385,ENF,8.2,843
,,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
DE-Zrk,Zarnekow,http://sites.fluxdata.org/DE-Zrk/,Tier2,Tier2: 2013,Tier2: 2014,53.8759,12.889,0,WET,8.7,584
DK-Eng,Enghave,http://sites.fluxdata.org/DK-Eng/,Tier2,Tier2: 2005,Tier2: 2008,55.6905,12.1918,10,GRA,8,613
DK-Fou,Foulum,http://sites.fluxdata.org/DK-Fou/,"Tier1,",Tier1: 2005,Tier1: 2005,56.4842,9.5872,51,CRO,8,
,,,Tier2,Tier2: 2005,Tier2: 2005,,,,,,
DK-NuF,Nuuk Fen,http://sites.fluxdata.org/DK-NuF/,"Tier1,",Tier1: 2008,Tier1: 2014,64.1308,-51.3861,50,WET,-1.4,750
,,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
DK-Sor,Soroe,http://sites.fluxdata.org/DK-Sor/,"Tier1,",Tier1: 1996,Tier1: 2014,55.4859,11.6446,40,DBF,8.2,660
,,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
DK-ZaF,Zackenberg Fen,http://sites.fluxdata.org/DK-ZaF/,"Tier1,",Tier1: 2008,Tier1: 2011,74.4814,-20.5545,38,WET,-9,211
,,,Tier2,Tier2: 2008,Tier2: 2011,,,,,,
DK-ZaH,Zackenberg Heath,http://sites.fluxdata.org/DK-ZaH/,"Tier1,",Tier1: 2000,Tier1: 2014,74.4732,-20.5503,38,GRA,-9,211
,,,Tier2,Tier2: 2000,Tier2: 2014,,,,,,
