Country,Station,Latitude,Longitude
United States (the),JCOMMOPS US-VOS-WMPP-20122013,26.1,36.5
Netherlands,JCOMMOPS NL-VOS-PDYX-01012000,39.7,4.3
Russian Federation,JCOMMOPS RU-VOS-UCUE-01012000,16.8,16.8
Germany,JCOMMOPS DE-VOS-DJAZ2-16042013,14.9,41.8
United States (the),JCOMMOPS US-VOS-9V2024-22012014,22.69,63.3
"Hong Kong, China",JCOMMOPS HK-VOS-VRMX7-07112014,20.39,38.6
Germany,JCOMMOPS DE-VOS-A8ZV2-15032015,35.1,-6.7
Germany,JCOMMOPS DE-VOS-CQIG-14082004,-27.1,15
Germany,JCOMMOPS DE-VOS-9HA3489-24092008,31.89,31.2
(unknown),JCOMMOPS ZZ-VOS-3EPD8-27102011,-4.6,4.2
Germany,JCOMMOPS DE-VOS-9HA3767-16112006,35.29,34.4
Germany,JCOMMOPS DE-VOS-DMMC-18092008,36.1,-5.2
Netherlands,JCOMMOPS NL-VOS-OWKI2-06052009,34.5,31.6
United Kingdom (the),JCOMMOPS GB-VOS-9HOF8-27032012,36.5,27.2
(unknown),JCOMMOPS ZZ-VOS-ZR2335-17092013,0,0
United States (the),JCOMMOPS US-VOS-KRAU-20042011,28.8,49.4
United States (the),JCOMMOPS US-VOS-VRFO2-08072014,-29.6,31.1
Germany,JCOMMOPS DE-VOS-A8IE6-25072006,12.8,47.9
Germany,JCOMMOPS DE-VOS-DBRE-11121997,-31.8,60.3
Greece,JCOMMOPS GR-VOS-SYQO-04052001,36,24.7
Germany,JCOMMOPS DE-VOS-LXSZ-03022005,38.7,4.5
United States (the),JCOMMOPS US-VOS-VRDR8-21072010,31.89,33.8
United Kingdom (the),JCOMMOPS GB-VOS-MYMX5-03082000,28.1,-13.4
United States (the),JCOMMOPS US-VOS-ONFN-10082015,31.69,34.5
"Hong Kong, China",JCOMMOPS HK-VOS-VRME6-11032014,36.79,1.3
Netherlands,JCOMMOPS NL-VOS-PDXQ-01012000,36,15.7
Germany,JCOMMOPS DE-VOS-DBKV-01011977,37.7,15.3
United Kingdom (the),JCOMMOPS GB-VOS-MZFR9-09052000,18.1,-20
United States (the),JCOMMOPS US-VOS-VRBK5-18042012,32.1,30.6
Germany,JCOMMOPS DE-VOS-V2GN4-19072007,-2.8,7.7
Germany,JCOMMOPS DE-VOS-A8UB3-06022015,27.69,33.8
Germany,JCOMMOPS DE-VOS-DDZE2-07092005,36.6,0.3
United States (the),JCOMMOPS US-VOS-VRKS4-05022014,30.39,-14.1
Germany,JCOMMOPS DE-VOS-DGGE-12031997,23.69,-17
Germany,JCOMMOPS DE-VOS-A8DM9-18122003,35.89,-5.1
United States (the),JCOMMOPS US-VOS-V7SY6-09092010,-24.8,59.5
United Kingdom (the),JCOMMOPS GB-VOS-MCCN6-30092003,24.3,58.2
India,JCOMMOPS IN-VOS-ATSF-01012000,24.5,62.8
United Kingdom (the),JCOMMOPS GB-VOS-3FMV6-09102015,23,62.7
India,JCOMMOPS IN-VOS-VVZU-01012000,3.1,10.4
United States (the),JCOMMOPS US-VOS-ONFX-01092014,25.39,57.5
Germany,JCOMMOPS DE-VOS-A8ZP9-21061999,-16.8,62.2
United States (the),JCOMMOPS US-VOS-9HXD9-25072009,38.79,15.4
United States (the),JCOMMOPS US-VOS-C6VG2-01072008,24.5,58.8
United States (the),JCOMMOPS US-VOS-3EJM9-01122007,35.5,-21.3
Canada,JCOMMOPS CA-VOS-VOLG-06072009,38.79,-21.5
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK31-23052002,-1.2,-1.4
Germany,JCOMMOPS DE-VOS-CQHE-21122000,34.5,-6.9
Netherlands,JCOMMOPS NL-VOS-2EZE5-01012000,35.79,-23.3
United Kingdom (the),JCOMMOPS GB-VOS-MIBR-08122006,-17.1,-11
United Kingdom (the),JCOMMOPS GB-VOS-OZDK2-14012009,36.29,-3.1
United States (the),JCOMMOPS US-VOS-WPPO-01041991,-0.9,47.1
Germany,JCOMMOPS DE-VOS-A8CG2-25011994,37.79,23.5
(unknown),JCOMMOPS EU-VOS-BAREU58-07022011,34.5,-7.2
Germany,JCOMMOPS DE-VOS-DGSR-25111998,12.19,-18
Germany,JCOMMOPS DE-VOS-A8OK6-12122007,20.1,38
(unknown),JCOMMOPS ZY-VOS-AUTV-13112008,24,60.6
United States (the),JCOMMOPS US-VOS-9V9791-12112014,37.29,4.8
Japan,JCOMMOPS JP-VOS-JHJH-01012000,-30.3,-3.3
Germany,JCOMMOPS DE-VOS-V7DW6-07042004,36.2,18.9
United Kingdom (the),JCOMMOPS GB-VOS-MYSU5-25031999,3.8,9.4
Germany,JCOMMOPS DE-VOS-LXSH-26032008,19.5,39.1
Germany,JCOMMOPS DE-VOS-DCCP2-23012003,24.69,60
