Country,Station,Latitude,Longitude
(unknown),JCOMMOPS DB-2200528-01011900,0,0
United States (the),JCOMMOPS DB-3100546-29042014,-39.1,-26.0213
United States (the),JCOMMOPS DB-1500902-23082012,-22.5,5.545
United States (the),JCOMMOPS DB-2300910-10042015,10.65,57.905
United States (the),JCOMMOPS DB-6200931-27052014,32.74,16.672
United States (the),JCOMMOPS DB-4100508-12102013,31.86,-22.5738
United States (the),JCOMMOPS DB-3300533-25042015,-39.9,-17.5111
(unknown),JCOMMOPS DB-4100711-15102013,30.97,-23.116
France,JCOMMOPS DB-3100861-13042014,5.17,-14.171
United States (the),JCOMMOPS DB-3300635-21042014,0,0
United States (the),JCOMMOPS DB-3300592-24042015,-34.3,-22.2489
United States (the),JCOMMOPS DB-1500621-03012013,-27,-22.2288
United States (the),JCOMMOPS DB-1400556-05052014,-0.36,62.023
United States (the),JCOMMOPS DB-1600520-21042015,-36.9,39.4406
(unknown),JCOMMOPS DB-2300511-10112014,26.28,57.163
United States (the),JCOMMOPS DB-2300961-16052013,-34.6,18.8116
(unknown),JCOMMOPS DB-4400606-20062008,0,0
United States (the),JCOMMOPS DB-6101607-25052014,36.74,0.643
(unknown),JCOMMOPS DB-6400693-01011900,0,0
(unknown),JCOMMOPS DB-1700656-16112010,-29.9,54.6599
France,JCOMMOPS DB-1400516-04112013,-32.7,62.402
France,JCOMMOPS MB-6100001-16031999,0,0
(unknown),JCOMMOPS DB-2300508-10112014,25.53,58.252
United States (the),JCOMMOPS DB-1400545-19042015,-38.8,20.6828
United States (the),JCOMMOPS DB-4600930-10012014,0,0
United States (the),JCOMMOPS DB-1500638-02012013,-32.8,-3.766
United States (the),JCOMMOPS DB-3100535-19022014,-35.2,7.216
United States (the),JCOMMOPS DB-4100971-08082013,32.64,-16.935
United States (the),JCOMMOPS DB-1400915-16102013,-20,43.4432
United States (the),JCOMMOPS DB-3100508-02122013,14,42.4
United Kingdom (the),JCOMMOPS DB-3100868-10122013,-24.6,-7.078
United States (the),JCOMMOPS DB-6200904-27052014,36.95,7.772
United States (the),JCOMMOPS DB-4400848-27012014,34.36,-17.08
United States (the),JCOMMOPS DB-2300692-25112013,2.218,46.654
(unknown),JCOMMOPS DB-2300507-29092014,12.78,45.413
Greece,JCOMMOPS MB-6101007-26112009,35.79,24.9
(unknown),JCOMMOPS DB-2200632-01011900,0,0
United States (the),JCOMMOPS DB-5300522-29052014,-16.1,44.5972
United States (the),JCOMMOPS DB-1300572-15092014,33.65,-21.0732
United States (the),JCOMMOPS DB-1300518-19052015,28,-16.6588
(unknown),JCOMMOPS DB-4400777-08032006,0,0
United States (the),JCOMMOPS DB-4400877-04022014,27.75,-18.054
United States (the),JCOMMOPS DB-3300636-21042014,0,0
France,JCOMMOPS DB-1400528-07122013,-35.2,53.478
United States (the),JCOMMOPS DB-1300567-20042015,28.1,-16.7569
(unknown),JCOMMOPS MB-6100208-27112009,37.51,12.533
