Name,SymbolID,Status2,Longitude,Latitude
"Nawiliwili, Kauai",1,Not operational,-159.36,21.957
"Nawiliwili, Kauai",1,Not operational,-159.36,21.957
Newlyn2,0,Operational,-5.54275,50.103
Nouakchott,0,Operational,-15.95,18.1
Nome_AK,0,Operational,-165.43,64.5
Nome_AK,0,Operational,-165.43,64.5
Nouadhibou,1,Not operational,-17.0361889,20.8134889
Newport,0,Operational,-2.99,51.55
North Shields,0,Operational,-1.44,55.01
"North_Spit, Humboldt",0,Operational,-124.217,40.767
"North_Spit, Humboldt",0,Operational,-124.217,40.767
Nuuk harbor,0,Operational,-51.719837,64.171306
Oranjestad,0,Operational,-70.03333,12.51666
Ouistreham,0,Operational,-0.24903,49.27936
Ouistreham 2,0,Operational,-0.24903,49.27936
Port Alberni,0,Operational,-124.8137,49.2256
Palmeira,0,Operational,-22.9833,16.755
Papagayo Marina,1,Not operational,-85.656,10.6420278
"Parham (Camp Blizard), Antigua",1,Not operational,-61.7833,17.15
Puerto Cortes,0,Operational,-87.9587,15.84334
Ponta_Delgada_Azor,0,Operational,-25.68,37.73
"Penuelas (Punta Guayanilla),",1,Not operational,-66.7618,17.97253
Port Hardy,0,Operational,-127.483333,50.716667
Palmyra Island,0,Operational,-162.09,5.89
Puerto de la Luz,0,Operational,-15.41,28.13
Plymouth,0,Operational,-4.19,50.37
Pensacola_FL,0,Operational,-87.212,30.403
Pensacola_FL,0,Operational,-87.212,30.403
Port of Belize,0,Operational,-88.200506,17.473544
Portpatrick,0,Operational,-5.12,54.84
Port-Bloc,0,Operational,-1.06157,45.5685
Port-Bloc2,0,Operational,-1.06157,45.5685
Porto Santo,1,Not operational,-16.31491,33.059681
Praia,1,Not operational,-23.5021389,14.9122778
Puerto Barrios,0,Operational,-88.622018,15.694618
Le Prêcheur,0,Operational,-61.226588,14.80758
"Prickly Bay, Grenada",0,Operational,-61.764828,12.005392
Prince Rupert,1,Not operational,-130.32,54.32
"Progreso, Yuc",1,Not operational,-89.666667,21.303333
"Progreso, Yuc",1,Not operational,-89.666667,21.303333
Prudhoe_Bay_AK,0,Operational,-148.51,70.388
Prudhoe_Bay_AK,0,Operational,-148.51,70.388
Portrush,0,Operational,-6.66,55.21
Puerto Sandino,0,Operational,-86.7644444,12.2011111
"Pilots Station East, SW Pass, LA",1,Not operational,-89.4067,28.9317
"Pilots Station East, SW Pass, LA",0,Operational,-89.4067,28.9317
Port_San_Luis_CA,0,Operational,-120.753,35.168
Port_San_Luis_CA,1,Not operational,-120.753,35.168
Puerto Angel,0,Operational,-96.4916667,15.6666667
Puerto Angel,1,Not operational,-96.4916667,15.6666667
Punta Cana,0,Operational,-68.375519,18.504603
Point Galeota,1,Not operational,-60.9919444,10.1380556
Port Isaac,0,Operational,-4.83441,50.59417
"Portsmouth, Dominica",1,Not operational,-61.468456,15.558969
"Portsmouth, Dominica",0,Operational,-61.4582,15.5768
Portsmouth,0,Operational,-1.11,50.8
Puerto Plata,0,Operational,-70.702011,19.798794
Port au Prince,1,Not operational,-72.380044,18.534471
"Pointe à Pitre, Guadeloupe",0,Operational,-61.531452,16.224398
"Pointe à Pitre, Guadeloupe 2",0,Operational,-61.531452,16.224398
Port Royal,0,Operational,-76.845598,17.934614
Port St. Charles,0,Operational,-59.644853,13.262981
Port of Spain,0,Operational,-61.51666,10.65
Puerto Vallarta,0,Operational,-105.243734,20.658487
"Puerto Morelos, Q. R.",0,Operational,-86.86684,20.86813
Puerto Morelos,0,Operational,-86.86684,20.86813
"Qaqortoq, Julianehab",1,Not operational,-46.035,60.7176
Queen Charlotte,0,Operational,-132.066667,53.25
Quepos,0,Operational,-84.1702,9.4255
Reykjavik,0,Operational,-21.93333,64.15
Roscoff,0,Operational,-3.966,48.716
Roscoff 2,0,Operational,-3.966,48.716
Roseau,0,Operational,-61.3891833,15.31385
Roatan Island Punta Gorda Harbor,1,Not operational,-86.54037,16.34552
Sagres,1,Not operational,-8.928234,37.01036
Sagunto,0,Operational,-0.20624,39.63392
Saidia Marina,1,Not operational,-2.2929,35.1119
Saint-Nazaire,0,Operational,-2.2,47.26
Saint-Nazaire 2,0,Operational,-2.2,47.26
"Salina Cruz, Oax.",0,Operational,-95.196842,16.168436
"Salina Cruz, Oax.",0,Operational,-95.196842,16.168436
Santa Marta,0,Operational,-74.221572,11.235156
Santander,0,Operational,-3.79076,43.4613
San Andres,0,Operational,-81.701492,12.569489
San_Juan_PR,0,Operational,-66.1167,18.4617
San_Juan_PR,0,Operational,-66.1167,18.4617
Sapzurro,1,Not operational,-77.36527778,8.660277778
Sapzurro,0,Operational,-77.36527778,8.660277778
South_Beach_OR,0,Operational,-124.043,44.625
South_Beach_OR,0,Operational,-124.043,44.625
Scarborough,0,Operational,-60.7333,11.1667
Socoa,0,Operational,-1.68162,43.3952
Socoa2,0,Operational,-1.68162,43.3952
"Ittoqqortoormiit, Scoresbysund",0,Operational,-21.962,70.4838
Santo Domingo/p.San Andres,1,Not operational,-69.6294,18.4208
Sandown Pier,0,Operational,-1.15316,50.65111
Sand_Point_AK,0,Operational,-160.5017,55.3367
Sand_Point_AK,1,Not operational,-160.5017,55.3367
Settlement pt,0,Operational,-78.98333,26.6833324
Setubal,1,Not operational,-8.93,38.49
Sevilla,0,Operational,-6.00772,37.31849
Seward_AK,0,Operational,-149.427,60.119
Seward_AK,1,Not operational,-149.427,60.119
Sian Ka'an,1,Not operational,-87.4463333,19.3126667
Sisal,1,Not operational,-90.0483333,21.1616667
Sitka_AK,0,Operational,-135.3417,57.0517
Sitka_AK,0,Operational,-135.3417,57.0517
Puerto San Juan del Sur,1,Not operational,-85.875,11.2511111
Sanchez Magallanes,0,Operational,-93.8545,18.2968333
"Saint Pierre et Miquelon, Canada",0,Operational,-56.1005,46.4713
Second Severn Crossing,0,Operational,-2.70001,51.57012
St_Croix_VI,0,Operational,-64.69833,17.74666
St_Croix_VI,0,Operational,-64.69833,17.74666
St. Johns,0,Operational,-52.72,47.57
StLouis,1,Not operational,-16.5078056,15.9912778
Ganter's Bay,0,Operational,-60.997351,14.016428
Saint-Malo,0,Operational,-2.028,48.6416
Saint-Malo 2,0,Operational,-2.028,48.6416
St Marys,0,Operational,-6.317222,49.917861
Saint Martin Island,0,Operational,-63.085434,18.08333
Stornoway,0,Operational,-6.39,58.21
Stornoway (tsunami),0,Operational,-6.39,58.21
Saint-Quay-Portrieux,0,Operational,-2.822498,48.648195
Saint-Quay-Portrieux 2,0,Operational,-2.822498,48.648195
Swanage Pier,1,Not operational,-1.949177,50.609334
Takoradi,1,Not operational,-1.745,4.8846
Tarifa,0,Operational,-5.60351,36.00646
Tela Harbor,1,Not operational,-87.45314,15.78414
Telchac,1,Not operational,-89.308333,21.34
Tenerife2,0,Operational,-16.24111,28.47722
Tofino_BC,0,Operational,-125.91,49.15
"Thule, Pituffik",1,Not operational,-68.8626,76.5434
Teignmouth Pier,1,Not operational,-3.49179,50.5439
Tobermory,0,Operational,-6.06,56.62
Tofino,1,Not operational,-125.91,49.15
