Name,Country,Latitude,Longitude,Altitude,Type,WMO,Transmission,Air temperature,Soil temperature,Wind,Rain,Relative humidity,Barometric pressure,Solar irradiance,Leaf wetness,Fog precipitation,Soil moisture,Sunshine duration,Dew point,Wet bulb,First data,Status/Last data,Status2
Lusaka Int. Airport,Zambia,-15.31929,28.44050,1149,Adcon/OTT,67665,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/8/2013,active,Operational
Lusaka University of Zambia,Zambia,-15.39117,28.33204,1260,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/10/2013,active,Operational
Mpulungu,Zambia,-8.77300,31.11700,801,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,5/20/2015,active,Operational
Mwinilunga,Zambia,-11.73998,24.43100,1360,Adcon/OTT,67441,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,12/4/2013,active,Operational
Namwala,Zambia,-15.75000,26.43300,998,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,2/22/2015,active,Operational
Nangweshi,Zambia,-16.24592,23.23711,1014,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,2/23/2015,inactive,Not operational
Samfya,Zambia,-11.37119,29.56057,1194,Adcon/OTT,67469,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/6/2013,active,Operational
Serenje,Zambia,-13.22670,30.21508,1395,Adcon/OTT,67571,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/7/2013,active,Operational
Sesheke,Zambia,-17.47110,24.30130,944,Adcon/OTT,67741,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,11/22/2013,active,Operational
Zambezi,Zambia,-13.53365,23.10790,1066,Adcon/OTT,67531,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,11/27/2013,active,Operational
